jiu5-hi5	鰇魚
lah-sap	垃圾
lap-sap	垃圾
lak	橐
lak-te7-a2	橐袋仔
lam2-nua7	荏懶
lang7	弄
lang7-sai	弄獅
lau2	扭
nau2	扭
lau3	落
lau3-sai2	落屎
lau3-hong	落風
lau3-khui3	落氣
lau3-khoo3	落褲
lin3	輾
liong7-tsa2	冗早
liong7-siong7	冗剩
liu2-lak	扭搦
liu2-liah8	扭掠
liu7	餾
loh8	落
loh8-tshia	落車
loh8-hoo7	落雨
loh8-pui5	落肥
loh8-bin5	落眠
lok	橐
lok8-tshui3	漉喙
long3	挵
long3-mng5	挵門
loo7-le5	露螺
lu	攄
lu-a2	攄仔
lu3	鑢
lui2	蕊
m7-ko3	毋過
mue5	糜
neh	躡
ng2	䘼
ngeh8	挾
nng3	軁
nng3-tsng3	軁鑽
nng7	卵
nng7-jin5	卵仁
nng7-tshing	卵清
nua2	撋
nua7	瀾
pang	枋
peh	擘
phah-eh	拍呃
phainn7	揹
phang5	捀
phang5-te5	捀茶
phang5-tshai3	捀菜
phann3	冇
phiann	抨
phong-phai3	豐沛
phong2	捧
phu2	殕
phu2-sik	殕色
phun	潘
pi	觱
piak	煏
pih	撆
po2-pi3	保庇
pong7-bi2-phang	砰米芳
pong7-tsi2	磅子
poo2-poo2	脯脯
puann5	盤
puann5-nua2	盤撋
pue-ling5-a2	菠薐仔
puann5-tshia	盤車
puann5-suann	盤山
puann5-tshiunn5	盤牆
sa	捎
sa-bo5-tsang2	捎無總
sa-tsinn5	捎錢
sah8	煠
sah8-nng7	煠卵
sau-siann	梢聲
sau3	哨
sinn	生
si7-tua7	序大
siam2-sih	閃熠
sian	鉎
sian	仙
sian7	𤺪
sian7-thang5	蟮蟲仔
siann5	涎
sih-nah	熾爁
sih-na3	熾爁
sinnh-na3	熾爁
sin5	承
sioh8	液
si3-siu3	四秀
siu7	岫
so	挲
soh	索
song5	倯
soo2-hui3	só͘-huì
suan7	漩
suan7-jio7	漩尿
suan7-thang2	漩桶
suan7-tsioh8	璇石
suan7	璇
suh	欶
suh-kong2	欶管
sun5	巡
ta-ke	大家
ta-kuann	大官
ta3	罩
tan5	霆
tan5-lui5-kong	霆雷公
tan5-tsui2-le5	霆水螺
tang	冬
tang-si5	當時
tauh8	沓
tauh8-tauh8	沓沓
teh	硩
thau2-pang3	敨放
thau2-khui3	敨氣
thi2	褫
thiam2	忝
thiann3	疼
thiann3-sioh	疼惜
thin7	伨
thin7-thau5	伨頭
sio-thin7	相伨
thng3	褪
thng3-khak	褪殼
thng3-sann	褪衫
thong2	捅
thong2-thau5	捅頭
thoo2-te7	土地
thoo2-tit8	土直
thoo2-san2	土產
thoo5-sua	塗沙
thoo5-kha	塗跤
thoo5-thoo5-thoo5	塗塗塗
thuah	挩
thuah-thang	挩窗
thuah-mng5	挩門
thuah-pang	挩枋
thuh	托
thun7	坉
thun7-thoo5	坉塗
thun7-tsinn2	坉井
thun7-pun2	坉本
tiann2	鼎
tiann7-tioh8	定著
tiann7	定
tim3	抌
ting5-a2-kha	亭仔跤
tio5	趒
tio5-kha	趒跤
tio5-kha-tng3-te5	趒跤頓蹄
tng2	轉
tng2-khi3	轉去
tng2--khi3	轉--去
tng7	搪
tu2-tng7	拄搪
to3-siang3-hiang3	倒摔向
to3-siak-hiann3	倒摔向
tok	剁
tok-tng7	剁斷
tong7	撞
tong7-kiu5	撞球
tsa-poo	查埔
tsam3	蹔
tsam3-kha	蹔跤
tsam7	站
tsang5	欉
tsann3	乍
tsann3-iu5	乍油
tsat8	實
tsat8-phinn7	實鼻
tshiam2	攕
tshiam2-a2	攕仔
tshiang3-siann	唱聲
tshiau	搜
tsiau5	撨
tshiau5-kut	撨骨
tshih8	揤
jih8	揤
tshik	粟
tshik-a2	粟仔
tshik-tsiau2-a2	粟鳥仔
tshing3	擤
tshing3-phinn7	擤鼻
tshiu2-tian7	手電
tshiu2	手
tian7	電
tshng2	吮
tshuinn2	吮
tshu	趨
tshu-tshu	趨趨
tshu-seh	趨雪
tshu7	跙
tshu7-ping	跙冰
tshua7	𤆬
tshuah	疶
tshuah-sai2	疶屎
tshuah-jio7	疶尿
tshuah	礤
tshuah-ping	礤冰
tsuan5	攢
tshue	炊
tshue-kue2	炊粿
tshue-tsang3	炊粽
tshue-png7	炊飯
tshue5	箠
tshue5-a2	箠仔
kiu5-tshue5	球箠
tshun	偆
tsi5	糍
tsiann2	汫
tsiann2-tsui2	汫水
kiam5-tsiann2	鹹汫
nng2-tsiann2	軟汫
tsim	唚
sio-tsim	相唚
tsing	舂
sio-tsing	相舂
tsing5	從
tsng5	從
tsinn	櫼
tsinn-a2	櫼仔
tsinn2	茈
tsi2	祉
tsinn2-kiunn	茈薑
iu3-tsinn2	幼茈
tsinn3	糋
tau7-kuann-tsinn3	豆乾糋
tsinn7	舐
tsit-ma2	這馬
tsiu2-kua2	守寡
tsiunn-tsi5	螿蜍
tsoh8--jit8	昨--日
jio7-tsu7	尿苴
tsu7-pang	苴枋
tsua7	逝
tsuann	煎
tsuann-te5	煎茶
tsuann-ioh8	煎藥
tsuann3	炸
tsui2-ke	水雞
tu3	注
tu7	駐
tu7-tsui2	駐水
tu7--si2	駐死
tue3	綴
tuh8	揬
uat8	越
uat8-thau5	越頭
un3-liau7	搵料
iah-si7	抑是
kau-pue5	交陪
kau	交
pue5	陪
giah8-thau5	攑頭
giah8-tshiu2	攑手
hiah	遐
kang2	港
ke	家
kha	尻
kha-tsiah-phiann	尻脊骿
hue-pan5	花瓶
tsui2-pan5	水瓶
tsiu2-pan5	酒瓶
phue-sin3	批信
tshau2-poo	草埔
hai2-sua-poo	海沙埔
khi2-siau2	起痟
siau3-lian5-ke	少年家
siu7	受
so2	鎖
sua3-loh8-khi3	紲落去
tsiap-sua3	接紲
sun7-sua3	順紲
tshui3-ta	喙焦
tshau3-hue2-ta	臭火焦
tam5-lok-lok	澹漉漉
tam5-koo5-koo5	澹糊糊
thin5-tsiu2	斟酒
thin5-te5	斟茶
thua-bua5	拖磨
toh8-hue2	著火
tshinn	青
tshinn-sik	青色
tshinn-tshau2	青草
tshenn	青
tshenn-tshau2	青草
tshenn-sik	青色
tshui3-tun5	喙唇
tsiah-ni2	遮爾
siok-bok8	寂寞
ua2-kho3	倚靠
ua2-tau3	倚晝
sio-ua2	相倚
a-pa	阿爸
a-bu2	阿母
ai3-sng2	愛耍
ai3-khun3	愛睏
ak-hue	沃花
ak-pui5	沃肥
bak8-kiann3	目鏡
bang2-a2	蠓仔
bang2-ta3	蠓罩
bin7-sik	面色
bin7-sik8	面熟
min5-a2-tsai3	明仔載
bin5-na3-tsai3	明仔載
bo5-ing5	無閒
bong2-khuann3	罔看
boo2-kiann2	某囝
bue2-liu	尾溜
bue2-au7	尾後
e7-kha	下跤
e7	會
e7-sai2	會使
gong7-lang5	戇人
gong7	戇
gong7-tai	戇呆
gua7-khau2	外口
gua7-ke	外家
hah8	合
hah8-su	合軀
he7	下
he7-iam5	下鹽
he7-pun2-tsinn5	下本錢
hia	遐
hia5	遐
hia-e5	遐的
hia--e5	遐--的
hian	掀
hian-khui	掀開
hian7	現
hiann5	燃
hiann5-tsui2	燃水
hiann5-te5	燃茶
hiann5-kun2-tsui2	燃滾水
hian7-si3	現世
hian7-tshut	現出
hioh	歇
hioh-tau3	歇晝
hioh-juah8	歇熱
hioh-kuann5	歇寒
hip-siong3	翕相
hit-si5	彼時
hit	彼
ho2-ka-tsai3	好佳哉
honn3-ki5	好奇
ho2-se3	好勢
huah-kun5	喝拳
huinn5-tit8	橫直
ia7-si7	也是
iau-kui2	枵鬼
iau2-koh	猶閣
ioh-tioh8	臆著
ioh-bi7-tshai	臆謎猜
ioh-bi7	臆謎
jia-jit8	遮日
jia-hoo7	遮雨
kha-jiau2	跤爪
jip8-khi3	入去
jit8-thau5	日頭
jit8-tsi2	日子
luah8	熱
sio-juah8	燒熱
juah8-lang5	熱人
ka-kiong5	加強
tsing-ka	增加
kah-phue7	蓋被
kah	佮
kai2-hun	改薰
kau7-kang	厚工
ka-ki7	家己
ka-to-gan2	鉸刀眼
ke-kiam2	加減
ke-ue7	加話
kinn	羹
bah-kinn	肉羹
bah-kenn	肉羹
kha-tshiu2	跤手
khah	較
khah-tse7	較濟
khah-thing5	較停
khang-tshu3	空厝
phua3-khang	破空
khng3-poo7	囥步
than2-khi	坦攲
khia7-ke	徛家
kan-khiau2	奸巧
khong3-bah	炕肉
khong3-io5	焢窯
khuann3-khuan2	看款
hioh-khun3	歇睏
kinn3-na7	見若
kin2-lai5	緊來
king2-tsiah8	揀食
koh-tsai3	閣再
koo5-a2	糊仔
koo5-tsua2	糊紙
mi7-suann3-koo5	麵線糊
kua3-ho7	掛號
tiann2-kua3	鼎蓋
kuann5-thinn	寒天
kuann5-lang5	寒人
kuann5-tioh8	寒著
ke2	粿
ker2	粿
kue2-tsi2-hng5	果子園
kui-e5	規个
kun2-na7	幾若
lai7-li2	內裡
tshu3-lai7	厝內
lan2-lang5	咱人
ho2-lang5	好人
thak8-tsheh-lang5	讀冊人
lap-te2	塌底
liah8-pau	掠包
liam5-pinn	連鞭
lim-tsui2	啉水
ni	奶
lin	奶
lai7-ling	內奶
gu5-ling	牛奶
liu2-a2	鈕仔
luah8-a2	捋仔
me5-jit8	暝日
na7-si7	若是
tau7-ngeh	豆莢
pa-pa	爸爸
phah-koo2	拍鼓
phainn2-siann-sau3	歹聲嗽
phainn2-pak-too2	歹腹肚
phainn2-kong2	歹講
bi2-phang	米芳
phinn7-phang	鼻芳
lau5-phinn7	流鼻
phong3-tshi2	膨鼠
kam-tsia3-phoh	甘蔗粕
phong3-phue5	膨皮
phong3-se	膨紗
phong7-ko2	蘋果
phoo-loo7	鋪路
tsong2-phoo3-sai	總舖師
phui3-nua7	呸瀾
phui3-tham5	呸痰
phui3-bin7	呸面
piann3-sau3	摒掃
piann3	摒
ping2-ping5	反旁
to3-ping2	倒反
pin5-tuann7-lang5	貧惰人
tuann7	惰
pin5-tuann7-kut	貧惰骨
pong7-a2	磅仔
pong7-tang7	磅重
pun5-hong	歕風
pun5-koo2-tshe	歕鼓吹
pun3-so3-thang2	糞埽桶
san2-bah	瘦肉
san2-tshan5	瘦田
sann-a2-khoo3	衫仔褲
san3-tshiah-lang5	散赤人
san3-tsiah8-lang5	散食人
se3-han3	細漢
se3-siann	細聲
siau3-phoo7	數簿
sng3-siau3	算數
sai-khia	私奇
sai-khia-ue7	私奇話
sai-khia-tsinn5	私奇錢
siong7-ho2	上好
siong7-tse7	上儕
sionn	傷
sua2-ui7	徙位
puann-sua2	搬徙
suah-hi3	煞戲
suah-be2	煞尾
suann3-khui	散開
hun-suann3	分散
sui2-khui3	媠氣
ai3-sui2	愛媠
sui5-tsai7	隨在
gong7-tua7-tai	戇大呆
tshau3-ling-tai	臭奶呆
tak8-pai2	逐擺
tam7-poh8-a2	淡薄仔
tan3-tiau7	擲掉
kha-tau	跤兜
tau3-tin7	鬥陣
tau3-kha-tshiu2	鬥跤手
tau3-kha	鬥跤
tau3-tso3-hue2	鬥做夥
te2-tsui2	貯水
te2-png7	貯飯
tng3-ku	頓龜
thai5-ti	刣豬
thai5-thau5	刣頭
than3-tsinn5	趁錢
than3-tsa2	趁早
thang-kng	通光
that-tshia	窒車
that-a2	窒仔
thau5-khak	頭殼
the3-hue2	退火
the3-ngoo2	退伍
thuah-a2	屜仔
uann2-ti7	碗箸
ti7-leh	佇咧
ti7	佇
tin7-thau5	陣頭
tin3	鎮
thau3-tiong-tau3	透中晝
ti3-sik	智識
tok	啄
tsa-boo2-kiann2	查某囝
tsa-boo2-lang5	查某人
tsah8-tsui2	閘水
tsah8	閘
tsai-khoo2	知苦
tsai-iann2	知影
tsau2-pio	走標
tsau2-loo7	走路
tsau3-kha	灶腳
tsau3-thau5	灶頭
tsham-ka	參加
tsheh-tiam3	冊店
tsheh-pau	冊包
tshenn-me5-gu5	青盲牛
tshia-thau5	車頭
tshiah-ji7	刺字
tshiann3-tshia	倩車
tshing7-sann	穿衫
tshing-khi3-siunn3	清氣相
tshit-a2	拭仔
tshit-tshui3	拭嘴
tshu3-pinn	厝邊
tshuah-moo	掣毛
tshuah-tng7	掣斷
tsiah8-te5	食茶
tsiah8-tshing7	食穿
tsiann5-ho2	誠好
tsiann5-lang5	成人
tsio2-soo3	少數
tsit-tsun7	這陣
sio-tu2	相抵
uann3-khun3	晏睏
a2	啞
a2	猶
a7	也
ai	哀
ai	埃
ai2	藹
aih	噯
ak	握
ak	齷
am	罨
am	闇
am	醃
am	𧌄
am	諳
an	安
an	鞍
an2	按
an7	限
ang	尪
ang3	齆
ann3	向
ann5	攔
ap	押
ap	握
ap8	狎
at	楬
au	毆
ba5	峇
ba5	猫
ba7	覓
ba7	擸
bak	沐
ban2	饅
ban7	瓣
bau7	㴘
bi5	咪
bi7	寐
bian2	愍
biau5	描
bin2	憫
bin5	明
bio2	母
bio2	秒
bio5	描
bit8	沕
biu7	繆
biu7	謬
bo2	母
bo5	無
bo7	帽
bo7	磨
bok	揍
bok8	木
bok8	目
bok8	寞
bok8	沐
bok8	漠
bok8	牧
bok8	睦
bok8	莫
bong3	甍
bong3	懵
bong5	雺
boo	摸
boo2	某
boo2	牡
boo2	畝
boo5	摹
boo5	模
boo5	謀
buah8	末
buah8	茉
buan7	墁
buan7	幔
buat8	襪
bue5	囮
bue7	袂
bui	蝛
bun3	濆
bun3	鼤
but	魩
but	粅
but	𢪥
but8	𢪱
e	鍋
e	挨
e5	个
e7	禍
e7	廈
eh	呃
enn	纓
enn9	咦
gam2	岑
gam7	儑
gam7	𩸶
gan2	眼
gan5	寒
ge3	嚙
gi7	誼
giah	撠
giam2	笒
gian2	妍
gian7	彥
giang	鈃
giang	婸
giang3	齴
giat	蠍
giau5	憢
gim2	錦
gin2	囡
gin7	猌
ging5	龍
ging7	硬
gio5	蕘
gioh8	虐
giok	謔
giong5	顒
go7	餓
gong5	楞
gong5	怳
goo5	蜈
gua7	偌
gut8	兀
gut8	杌
ha3	孝
ha5	荷
hai	奒
hai	咍
hak	蓄
ham	蚶
ham5	和
ham7	和
han5	閒
han7	瀚
hang	烘
hang3	胮
hang3	肨
hann2	嚇
hann7	迒
hannh	熁
hap	欱
hau	嘐
hau7	後
he	痚
heh	嚇
heh	嘿
hi3	唏
hia	桸
hiam3	喊
hian2	搟
hian3	現
hian3	羶
hiann	兄
hiannh	挔
hiau5	嬈
hiauh	藃
hik8	肉
hing5	恆
hing5	螢
hing5	雄
hing7	貺
hinn3	挕
hiong5	融
hiooh	諾
hiu2	朽
hm3	唔
hmh8	噷
hmh8	默
hng	坊
hngh	哼
ho	荷
ho	熇
ho3	貨
ho5	貉
hoh8	貉
hok8	鶴
hong	楓
hong	揈
hong5	篷
hong7	烘
hong7	俸
honn	齁
honn	呼
honn2	火
hoo	呼
hoo2	否
hoo2	唬
hoo2	滸
hoo2	虎
hoo3	戽
hoo3	蔻
hoo3	霍
hoo5	撈
hoo5	鰗
hoo5	侯
hoo5	壺
hoo5	弧
ho5	毫
hoo5	湖
hoo5	狐
hoo5	糊
hoo5	胡
hoo5	葫
hoo5	蝴
hoo5	鬍
hoo7	予
hoo7	戶
hoo7	雨
hoo7	護
hoo7	皓
hoo7	厚
hoo7	互
hoo7	滬
hoo7	後
hoo7	后
hop	欱
hu	虎
hu	烌
hu5	俘
hua	化
hua7	樺
hua7	譁
huah	砉
huah8	伐
huainn5	莖
huan5	圜
huan7	泛
huan7	飯
huann7	扞
huat8	發
hue	飛
hue	恢
hue5	荷
hue5	和
hue7	薈
hui2	悔
huinn5	橫
hun7	昏
hut	囫
hut	拂
i	遺
i3	翳
ia	埃
ia2	猶
iah	猶
iah	抑
iah	益
iah8	蛾
iam	陰
iam3	窨
ian	軒
ian2	偃
ian5	蝝
ian5	勻
ian5	芫
iang5	鍚
iang7	煬
iann7	焱
iann7	颺
iat	逸
iat8	悅
iat8	揲
iau	邀
iau2	夭
iau2	窈
iaunn	喓
im3	廕
in	怹
in	𪜶
in7	運
ing	坱
ing3	映
ing5	楹
ing5	塋
inn	嚶
inn2	穎
inn3	嬰
io	歐
io	邀
io2	扷
io2	舀
io5	姚
io7	喲
iong5	瘍
iu2	酉
iu2	有
iunn2	舀
jiam5	苒
jiau5	鱙
jik	迮
jim5	任
jing5	仍
jing5	扔
jing5	艿
jiok	逐
jiong5	瓤
jiu5	榆
ju5	俞
jui2	橤
jui2	蕊
jui5	蕤
jun2	忍
han3-lo5	漢羅
ka	瞌
ka	咳
ka3	較
ka3	漖
ka3	酵
kah	舺
kah	䘥
kai3	溉
kak	埆
kak	桷
kak	菊
kak	鵤
kam	監
kam	魽
kam2	𥴊
kam7	檻
kan	橄
kan2	𡢃
kan2	柬
kang	崗
kang	𨧤
kang2	犅
kang7	共
kann5	含
kap	佮
kap	甲
kap	蓋
kap8	洽
kau	𢓜
kau2	口
kau3	𢓜
kau5	侯
kau5	爻
kauh	𩛩
ke	基
ke5	鮭
keh	挌
keh	膈
keh	嗝
keh8	扴
kenn	庚
kenn	更
kenn	經
kenn	羹
kenn	驚
ki	期
ki2	己
ki2	幾
ki2	指
ki2	杞
ki2	矩
ki2	紀
ki2	舉
ki3	寄
ki3	據
ki3	既
ki3	痣
ki3	計
ki3	距
ki5	俟
ki5	圻
ki5	旂
ki5	畦
ki5	碕
ki5	磲
ki5	籧
ki5	綦
ki5	蕖
ki5	蘄
ki5	蘧
ki5	蜞
ki5	衹
ki5	跂
ki5	錡
ki5	頎
ki5	騏
ki5	鬐
ki5	鯕
ki7	伎
ki7	妓
ki7	技
ki7	暨
ki7	洎
ki7	炬
ki7	芰
ki7	苣
ki7	虡
ki7	詎
ki7	距
ki7	跽
ki7	遽
ki7	醵
ki7	鉅
ki7	鐻
ki7	陭
ki7	騎
kia	迦
kia5	奇
kia5	崎
kia7	陭
kiah	揭
kiah8	攑
kiah8	揭
kiah8	舉
kiak8	噱
kiam	縑
kiam	蒹
kiam2	鹼
kian2	卷
kian2	撿
kian2	筧
kian2	菤
kian2	謇
kian2	趼
kian2	蹇
kian7	件
kian7	胘
kiann2	囝
kiann5	檠
kiap	浹
kiap	莢
kiap	蛺
kiap	郟
kiat	偈
kiat	傑
kiat	孑
kiat	拮
kiat	杰
kiat	桀
kiat	碣
kiat	磔
kiat	竭
kiat	訐
kiat	頡
kiat8	佶
kiat8	磔
kiau	儌
kiau	徼
kiau	澆
kiau	轎
kiau2	九
kiau2	僥
kiau2	儌
kiau3	徼
kiau7	撟
kiau7	撬
kiauh	噭
kik	殛
kik	湨
kik	矍
kik	膈
kik	茖
kik	鎘
kik	鬲
kik	鶪
kim	噤
kim	禁
kim	衿
kim	襟
kin	矜
kin	跟
kin2	堇
kin2	巹
kin5	斳
kin7	僅
kin7	瑾
kin7	覲
kin7	饉
king	供
king	擎
king2	剄
king2	哽
king2	埂
king2	泂
king2	炅
king2	璟
king2	絅
king2	綆
king2	褧
king2	頸
king3	勁
king3	境
king3	獍
king3	鏡
king5	勍
king5	惸
